"title","variant","originally released","director","actors/0","actors/1","actors/2","actors/3","genre/0","genre/1","condition","poster_type","poster_size","thumbnail","hires","price","film_summary","poster_notes","tags/0","gallery/0","sort_title","on_sale","purchase_date","genre/2","genre/3","actors/4","actors/5","actors/6","tags/1","tags/2","tags/3","tags/4","tags/5","tags/6","tags/7","tags/8","tags/9","actors/7","genre/4","p","actors/8","actors/9","actors/10","actors/11","actors/12","actors/13","actors/14","actors/15","actors/16","genre/5","gallery/1","gallery/2","tags/10","tags/11","tags/12","tags/13","payment_link","product_id"
"DONNIE DARKO DIRECTORS'S CUT","","2001","Richard Kelly","Jake Gyllenhaal","Drew Barrymore","Patrick Swayze","","surreal","time travel","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/donnie-darko-dc-quad-poster.jpg","posters/donnie-darko-dc-quad-poster.jpg","79.99","British 30 x 40 inch original director's cut quad poster for Richard Kelly's 2001 instant cult classic  Donnie Darko starring Jake Gyllenhaal, Drew Barrymore and Patrick Swayze.This poster is in Near mint rolled condition, except for staple holes on the corners and in the middle of each edge.","","Cult Classic","posters/donnie-darko-dc-quad-poster.jpg","DONNIE DARKO DIRECTORS'S CUT","false","","psychological","mystery","","","","","","","","","","","","","","drama","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_3cI4gy1zOdBYgD2bQicjT0M","prod_TikGedE9Qe3dfK"
"DONNIE DARKO","15th anniversary 2016 re-release","2001","Richard Kelly","Jake Gyllenhaal","Drew Barrymore","Patrick Swayze","","surreal","time travel","Near mint, rolled.","quad","30 x 40 inches","posters-thumb/donnie-darko-15th-anniversary-quad-poster.jpg","posters/donnie-darko-15th-anniversary-quad-poster.jpg","37.99","15th anniversary re-release of Richard Kelly's 2001 instant cult classic Donnie Darko, starring Jake Gyllenhaal, Drew Barrymore and Patrick Swayze.","This rare re-release poster has some minor edge wear and a few small nicks/tears along the bottom right edge.","Cult Classic","posters/donnie-darko-15th-anniversary-quad-poster.jpg","DONNIE DARKO","true","2017-07-21","psychological","mystery","","","","18.99","","","","","","","","","","drama","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_eVq8wObao41o0E46vYcjT0N","prod_TikGAJr5ImSjQJ"
"DOWNFALL","","2004","Oliver Hir"," Bruno Ganz"," Alexandra Maria Lara"," Ulrich Matthes","","war","biography","Near mint, rolled.","quad","30 x 40 inches","posters-thumb/downfall-quad-poster.jpg","posters/downfall-quad-poster.jpg","27.99","Oliver Hirschbiegel's impressively honest 2004 biographic war drama Downfall, starring Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes.","","","posters/downfall-quad-poster.jpg","DOWNFALL","true","","period drama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_aFabJ0a6k8hE3Qg6vYcjT0O","prod_TikG3zBEvgUorF"
"DRAGONSLAYER","","1981","Matthew Robbins","Peter NacNicol","Caitlin Clarke","Ralph Richardson","","family","fantasy","Near mint, folded","quad","30 x 40 inches","posters-thumb/dragonslayer-quad-poster.jpg","posters/dragonslayer-quad-poster.jpg","99.99","Matthew Robbins' 1981 Disney fantasy, Dragonslayer, starring Peter NacNicol, Caitlin Clarke, Ralph Richardson.","Fantastic artwork by Brian Bysouth, making this a very popular collector's item.","29.50","posters/dragonslayer-quad-poster.jpg","DRAGONSLAYER","false","2023-07-09","adventure","","","","","folded","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_5kQaEW5Q42Xk2Mc2fIcjT0P","prod_TikGYf7DmwVmjX"
"THE DRIVER","","1978","Walter Hill","Isabelle Adjani","Bruce Dern","","","crime, thriller","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/the-driver-4k-r-quad-poster.jpg","posters/the-driver-4k-r-quad-poster.jpg","284.99","British 30 x 40 inch cinema quad poster for Walter Hill's 1978 cult crime thriller The Driver  starring Ryan O'Neal, Isabelle Adjani and Bruce Dern.This stunning limited rerelease film poster design is not only rare, but is in Near mint rolled condition.","","39.95","posters/the-driver-4k-r-quad-poster.jpg","DRIVER","false","2023-02-17","","","","","","rolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_fZucN492g9lIaeE6vYcjT0Q","prod_TikGL5b9dlZyw2"
"DUNE","","1984","David Lynch","Kyle Mac","Virginia Madsen","Francesca Annis","","sci-fi","","near mint folded condition","quad","30 x 40 inches","posters-thumb/dune-a-quad-poster-style-a.jpg","posters/dune-a-quad-poster-style-a.jpg","74.99","British 30 x 40 inch advance style A cinema quad poster for David Lynch's 1984 sci-fi epic Dune starring  Kyle MacLachlan, Virginia Madsen and Francesca Annis.This rarer advance poster is in near mint folded condition with some minor fold wear and pin holes in the corners.","","1984","posters/dune-a-quad-poster-style-a.jpg","DUNE","false","","","","","","","David Lynch","Kyle Mac","sci-fi","Virginia Madsen","folded","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_8x2cN4fqE0Pc0E41bEcjT0R","prod_TikGLCPUQrafKl"
"DUNE","","1984","David Lynch","Kyle Mac","Virginia Madsen","Francesca Annis","","sci-fi","","near mint folded condition","quad","30 x 40 inches","posters-thumb/dune-a-quad-poster-style-b.jpg","posters/dune-a-quad-poster-style-b.jpg","74.99","British 30 x 40 inch advance B cinema quad poster for David Lynch's 1984 sci-fi epic Dune starring  Kyle MacLachlan, Virginia Madsen and Francesca Annis.This beautiful advance poster is in near mint folded condition, with two additional diagonal folds in the bottom right section, some minor surface paper loss between 'N' and 'E' and pin holes in the corners.","","1984","posters/dune-a-quad-poster-style-b.jpg","DUNE","false","","","","","","","David Lynch","Kyle Mac","sci-fi","Virginia Madsen","folded","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_00w00ibaobtQaeE9IacjT0S","prod_TikGAvCl8QjwZr"
"EDWARD SCISSORHANDS","","1990","Tim Burton","Johnny Depp","Winona Ryder","","","war","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/edward-scissorhands-quad-poster.jpg","posters/edward-scissorhands-quad-poster.jpg","74.99","British 30 x 40 inch original cinema quad poster for Tim Burton's brilliant 1990 modern classic fairytale Edward Scissorhands starring  Johnny Depp and Winona Ryder.This classic film poster is in Near mint rolled condition.","","1990","posters/edward-scissorhands-quad-poster.jpg","EDWARD SCISSORHANDS","false","","","","","","","Johnny Depp","Tim Burton","war","Winona Ryder","rolled","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_bJe7sK1zO9lI0E42fIcjT0T","prod_TikGdeiXPNgvAf"
"8½","","2015","Federico Fellini","Marcello Mastroianni","Anouk Aim","Claudia Cardinale","","fantasy","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/federico-fellini-eight-and-a-half-quad-poster.jpg","posters/federico-fellini-eight-and-a-half-quad-poster.jpg","89.99","British 30 x 40 inch 2015 Bfi re-release cinema quad poster for Federico Fellini's 1963 fantasy masterpiece 8½, starring Marcello Mastroianni, Anouk Aimée and Claudia Cardinale.This limited re-release poster is in Near mint rolled condition.","","rolled","posters/federico-fellini-eight-and-a-half-quad-poster.jpg","8½","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_4gM5kC2DScxUeuUdYqcjT0U","prod_TikGXKlfdZ1niG"
"THE ELEPHANT MAN","","1980","David Lynch","John Hurt","Anthony Hopkins","Anne Bancroft","","biography","period drama","near mint, folded.","quad","30 x 40 inches","posters-thumb/the-elephant-man-quad-poster.jpg","posters/the-elephant-man-quad-poster-1.jpg","64.99","British 30 x 40 inch film quad poster for David Lynch's incredibly touching 1980 story of John Merrick,  The Elephant Man starring John Hurt and Anthony Hopkins. This movie poster is in near mint, folded.","","1980","posters/the-elephant-man-quad-poster.jpg","ELEPHANT MAN","false","","","","","","","Anthony Hopkins","David Lynch","John Hurt","folded","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_cNiaEW0vKcxUgD27A2cjT0V","prod_TikGza27XC48UG"
"THE ELEPHANT MAN","40th anniversary 2020 re-release","1980","David Lynch","John Hurt","Anthony Hopkins","Anne Bancroft","","biography","period drama","Near mint, rolled.","quad","30 x 40 inches","posters-thumb/the-elephant-man-40th-r-quad-poster.jpg","posters/the-elephant-man-40th-r-quad-poster.jpg","27.99","40th anniversary re-release of David Lynch's incredibly moving 1980 classic about the perfect English Gentleman John Merrick - The Elephant Man, starring John Hurt, Anthony Hopkins and Anne Bancroft.","","14.99","posters/the-elephant-man-40th-r-quad-poster.jpg","ELEPHANT MAN","true","2020-05-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_8x27sK5Q441oeuU2fIcjT0W","prod_TikGWLuY8ScYVb"
"ENEMY MINE","","1985","","Dennis Quaid","Louis Gossett","","","sci-fi","","near mint folded condition","quad","30 x 40 inches","posters-thumb/enemy-mine-quad-poster.jpg","posters/enemy-mine-quad-poster.jpg","34.99","British 30 x 40 inch advance quad poster for  Wolfgang Petersen's 1985 cult sci-fi 80's classic Enemy Mine starring Dennis Quaid and Louis Gossett Jr.This poster is in near mint, folded.","","1985","posters/enemy-mine-quad-poster.jpg","ENEMY MINE","false","","","","","","","Dennis Quaid","Louis Gossett","sci-fi","folded","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_14A3cua6kfK6cmM07AcjT0X","prod_TikGfCsfrlRW4L"
"E.T. THE EXTRA TERRESTRIAL","","1982","Steven Spielberg","Henry Thomas","Drew Barrymore","Robert Mac","Dee Wallace","","","near mint folded condition","quad","30 x 40 inches","posters-thumb/e.t.-extra-terrestrial-quad-poster.jpg","posters/e.t.-extra-terrestrial-quad-poster.jpg","127.99","British 30 x 40 inch quad poster for Steven Spielberg's 1982 instant classic that touched the world, starring Henry Thomas, Drew Barrymore, Robert MacNaughton, Dee Wallace-Stone and Peter Coyote. This poster is in near mint folded condition, with some tape marks on the corners and a two inch tear on the bottom centre edge.","","26.73","posters/e.t.-extra-terrestrial-quad-poster.jpg","E.T. THE EXTRA TERRESTRIAL","false","2018-06-06","","","Peter Coyote","","","folded","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_aFa8wOguI69waeE2fIcjT0Y","prod_TikGka72Zr9Qqr"
"E.T. THE EXTRA TERRESTRIAL","","1982","Steven Spielberg","Henry Thomas","Drew Barrymore","Robert Mac","Dee Wallace","","","near mint folded condition","quad","30 x 40 inches","posters-thumb/e.t.-the-extra-terrestrial-40th-quad-poster.jpg","posters/e.t.-the-extra-terrestrial-40th-quad-poster.jpg","69.99","British 30 x 40 inch 40th anniversary IMAX cinema quad poster for Steven Spielberg's 1982 instant classic 'that touched the world', E.T. - The Extra Terrestrial, starring Henry Thomas, Drew Barrymore, Robert MacNaughton, Dee Wallace-Stone and Peter Coyote. This poster is in near mint, folded.","","28.07","posters/e.t.-the-extra-terrestrial-40th-quad-poster.jpg","E.T. THE EXTRA TERRESTRIAL","false","2022-10-25","","","Peter Coyote","","","folded","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_dRm14m1zOapMgD26vYcjT0Z","prod_TikGSj2TplpzAB"
"FALLING DOWN","","1993","Joel Schumacher","Michael Douglas","Robert Duvall","Barbara Hershey","","","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/falling-down-quad-poster.jpg","posters/falling-down-quad-poster.jpg","124.99","British 30 x 40 inch original cinema quad poster for Joel Schumacher's highly underrated 1993 classic Falling Down starring Michael Douglas, Robert Duvall and Barbara Hershey.This increasingly sought after classic quad poster is very hard to find not folded these days, so it's amazing that this one is in Near mint rolled condition.","","54.01","posters/falling-down-quad-poster.jpg","FALLING DOWN","false","2025-01-22","","","","","","rolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_eVqeVcces1TgfyYbQicjT10","prod_TikGki87FzGPa3"
"FARGO","","1996","","","","","","thriller","","excellent rolled condition","quad","30 x 40 inches","posters-thumb/fargo-quad-poster.jpg","posters/fargo-quad-poster.jpg","34.99","British 30 x 40 inch original cinema quad poster for the Cohen Brother's 1996 modern classic thriller Fargo starring William H. Macy, Steve Buscemi, Frances McDormand, Kristin Rudrud and Harve Presnell.
This film poster is in excellent rolled condition with just minor edge wear.","","1996","posters/fargo-quad-poster.jpg","FARGO","false","","","","","","","thriller","rolled","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_cNieVcceseG2euUbQicjT11","prod_TikGewEh47Gwxx"
"THE FIFTH ELEMENT","","1997","Luc Besson","Bruce Willis","Gary Oldman","Ian Holm","Milla Jovovich","action, thriller","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/the-fifth-element-quad-poster.jpg","posters/the-fifth-element-quad-poster.jpg","194.99","British 30 x 40 inch quad poster for Luc Besson's 1997 futuristic action thriller  The Fifth Element starring Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich and Chris Tucker.This poster is in Near mint rolled condition.","","1997","posters/the-fifth-element-quad-poster.jpg","FIFTH ELEMENT","false","","","","Chris Tucker","","","action","Bruce Willis","Gary Oldman","Luc Besson","thriller","rolled","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_dRm3cu0vK69waeEdYqcjT12","prod_TikGSPHXSUxWXv"
"FIRST BLOOD","","1984","Ted Kotcheff","Sylvester Stallone","Brian Dennehy","Richard Crenna","","action, thriller","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/first-blood-quad-poster.jpg","posters/first-blood-quad-poster.jpg","654.99","British 30 x 40 inch quad poster for Ted Kotcheff's uderrated 1984 classic action thriller  First Blood starring Sylvester Stallone, Brian Dennehy and Richard Crenna.This poster has been linen-backed and is in Near mint rolled condition.","","1984","posters/first-blood-quad-poster.jpg","FIRST BLOOD","false","","","","","","","action","Brian Dennehy","Sylvester Stallone","Ted Kotcheff","thriller","rolled","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_bJe7sK1zO7dAeuUcUmcjT13","prod_TikGz8YZauflDA"
"FIRST KNIGHT","Advance teaser","1991","Jerry Zucker","Sean Connery","Richard Gere","Julia Ormond","","action","adventure","Near mint, rolled.","quad","30 x 40 inches","posters-thumb/first-knight-a-quad-poster.jpg","posters/first-knight-a-quad-poster.jpg","27.99","Jerry Zucker's underrated 1995 adventure romance First Knight, starring Sean Connery, Richard Gere and Julie Ormond. Jerrry Goldsmith's beautiful score has made this film a modest cult classic.","This extremely rare advance cinema poster is single-sided.","","posters/first-knight-a-quad-poster.jpg","FIRST KNIGHT.","true","","romance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_eVq00i1zO0Pc0E4cUmcjT14","prod_TikG5vRhEwKkox"
"FIRST KNIGHT","","1991","Jerry Zucker","Sean Connery","Richard Gere","Julia Ormond","","action","adventure","Near mint, rolled.","quad","30 x 40 inches","posters-thumb/first-knight-quad-poster.jpg","posters/first-knight-quad-poster.jpg","27.99","Jerry Zucker's underrated 1995 adventure romance First Knight, starring Sean Connery, Richard Gere and Julie Ormond. Jerrry Goldsmith's beautiful score has made this film a modest cult classic","This poster is double-sided.","","posters/first-knight-quad-poster.jpg","FIRST KNIGHT","true","","romance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_eVq9AS1zObtQfyYf2ucjT15","prod_TikGRZdKeEURT3"
"FLASH GORDON","","1980","Mike Hodges","Sam J. Jones","Melody Anderson","Max von Sydow","Topol","sci-fi","action","Near mint, rolled, linen backed.","quad","30 x 40 inches","posters-thumb/flash-gordon-quad-poster.jpg","posters/flash-gordon-quad-poster.jpg","389.99","Mike Hodges' 1980 cult classic screen adaptation of the famous comic-book, Flash Gordon, starring Sam J. Jones, Melody Anderson, Max von Sydow, Topol, Ornella Muti, Timothy Dalton and Brian Blessed.","This classic highly sought after film poster has been linen-backed and looks absolutely fantastic.","1980","posters/flash-gordon-quad-poster.jpg","FLASH GORDON","false","","adventure","superhero","Ornella Muti","Timothy Dalton","Brian Blessed","","","","","","","","","","Peter Wyngarde","comic-book","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_9B6dR8bao69w1I83jMcjT16","prod_TikGBnIyljJzmc"
"FLASH GORDON","40th 4K anniversary re-release","1980","Mike Hodges","Sam J. Jones","Melody Anderson","Max von Sydow","Topol","sci-fi","action","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/flash-gordon-40th-quad-poster.jpg","posters/flash-gordon-40th-quad-poster.jpg","489.99","Mike Hodges' 1980 cult classic Flash Gordon starring Sam J. Jones, Melody Anderson, Max von Sydow, Topol, Ornella Muti, Timothy Dalton and Brian Blessed.","This exceptionally rare film poster has fantastic artwork by Matt Ferguson and has just a small bit of edge wear on the top left and a single paper vein in the black, just below the small Flash Gordon, standing by the spaceship.","127.00","posters/flash-gordon-40th-quad-poster.jpg","FLASH GORDON","false","2020-10-19","adventure","superhero","Ornella Muti","Timothy Dalton","Brian Blessed","rolled","","","","","","","","","Peter Wyngarde","comic-book","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_bJe5kC6U841o2Mc9IacjT17","prod_TikG65cjggHW9c"
"THE FRENCH DISPATCH","","2021","Wes Anderson","Benicio Del","Adrien Brody","Tilda Swinton","","comedy, romance","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/the-french-dispatch-quad-poster.jpg","posters/the-french-dispatch-quad-poster.jpg","109.99","British 30  x 40 inch cinema quad poster for Wes Anderson's uniquely stylised and highly imaginative 2021 quirky comedy romance The French Dispatch - starring Benicio Del Toro, Adrien Brody and Tilda Swinton.This highly sought after 'illustraton' version of the film poster is in Near mint rolled condition.","","35.30","posters/the-french-dispatch-quad-poster.jpg","FRENCH DISPATCH","false","2022-03-08","","","","","","rolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_00w5kCguIapM4Ukg6ycjT18","prod_TikGeDVp82jfAz"
"FRENCH KISS","","1995","Lawrence Kasdan","Meg Ryan","Kevin Kline","Jean Reno","","comedy","","mint rolled condition","quad","30 x 40 inches","posters-thumb/french-kiss-quad-poster.jpg","posters/french-kiss-quad-poster.jpg","44.99","British 30 x 40 inch original cinema quad poster for Lawrence Kasdan's 1995 romantic comedy French Kiss starring Meg Ryan, Kevin Kline and Jean Reno. 
This movie poster is in mint rolled condition.","","1995","posters/french-kiss-quad-poster.jpg","FRENCH KISS","false","","","","","","","comedy","Kevin Kline","Lawrence Kasdan","Meg Ryan","rolled","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_dRm5kCfqEcxUdqQ4nQcjT19","prod_TikGwlVcSuCVL5"
"THE FUGITIVE","","1993","","Harrison Ford","Lee Jones","","","action, thriller","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/the-fugitive-quad-poster.jpg","posters/the-fugitive-quad-poster.jpg","84.99","British 30 x 40 inch original cinema quad poster for Andrew Davis' brilliant 1993 action thriller The Fugitive, based on the 1960's TV series, starring Harrison Ford and Tommy-Lee Jones. This is still Ford's last decent film by a mile and is all the more sought after for it.This dynamic and increasingly hard to find movie poster is in Near mint rolled condition.","","17.99","posters/the-fugitive-quad-poster.jpg","FUGITIVE","false","2019-07-25","","","","","","rolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_eVq9ASemAgOafyYcUmcjT1a","prod_TikGk2Mng4JWyX"
"FUNNY GAMES","","2007","Michael Haneke","Naomi Watts","Tim Roth","Michael Pitt","","thriller","","near mint condition","quad","30 x 40 inches","posters-thumb/funny-games-a-quad-poster.jpg","posters/funny-games-a-quad-poster.jpg","89.99","British 30 x 40 inch advance cinema quad poster for Michael Haneke's 2007 American re-make of his Austrian 1997 classic thriller Funny Games, starring Naomi Watts, Tim Roth and Michael Pitt.This rare film poster is beautifully simplistic and in near mint condition.","","22.90","posters/funny-games-a-quad-poster.jpg","FUNNY GAMES","false","2019-08-03","","","","","","folded","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_28E8wO2DS55sgD21bEcjT1b","prod_TikGCrPZbiTUt4"
"GHOST","","1990","","Patrick Swayze","Demi Moore","Whoopi Goldberg","","comedy, romance, thriller",""," Near mint rolled condition","quad","30 x 40 inches","posters-thumb/ghost-b-quad-poster.jpg","posters/ghost-b-quad-poster.jpg","34.99","British 30 x 40 inch quad style B poster for  Jerry Zucker's 1990  comedy romance thriller Ghost, brilliantly written by Bruce Joel Rubin (Jacob's Ladder) starring Patrick Swayze, Demi Moore and Whoopi Goldberg.This poster in  Near mint rolled condition.","","1990","posters/ghost-b-quad-poster.jpg","GHOST","false","","","","","","","comedy","Demi Moore","Patrick Swayze","romance","thriller","rolled","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_aFaeVc7YcfK6biI7A2cjT1c","prod_TikGS9sxBKEmDl"
"GHOSTBUSTERS","","2011","","Bill Murray","Dan Aykroyd","Sigourney Weaver","Harold Ramis","comedy","","mint rolled condition","quad","30 x 40 inches","posters-thumb/ghostbusters-pc-2011-quad-poster.jpg","posters/ghostbusters-pc-2011-quad-poster.jpg","199.99","British 30 x 40 inch quad poster for Park Circus' 2011 re-release of Ivan Reitman's classic 1984 comedy Ghostbusters, starring Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis and Rick Moranis.This beautiful and rare re-release poster is in mint rolled condition.","","2011","posters/ghostbusters-pc-2011-quad-poster.jpg","GHOSTBUSTERS","false","","","","Rick Moranis","","","Bill Murray","comedy","Dan Aykroyd","rolled","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_28E6oG7YcdBY3Qg1bEcjT1d","prod_TikGIakwM6xpb8"
"THE GIRL WITH THE DRAGON TATTOO (M?n som hatar kvinnor)","","2009","Niels Arden Oplev","Michael Nyqvist","Noomi Rapace","Lena Endre","","thriller","","mint rolled condition","quad","30 x 40 inches","posters-thumb/the-girl-with-the-dragon-tattoo-quad-poster.jpg","posters/the-girl-with-the-dragon-tattoo-quad-poster.jpg","79.99","British 30 x 40 inch quad poster for Niels Arden Oplev's fantastic 2009 Swedish thriller based on Stieg Larsson's bestselling novel The Girl With The Dragon Tattoo, starring Michael Nyqvist, Noomi Rapace and Lena Endre.This poster is in mint rolled condition.","","2009","posters/the-girl-with-the-dragon-tattoo-quad-poster.jpg","GIRL WITH THE DRAGON TATTOO (M?n som hatar kvinnor)","false","","","","","","","Michael Nyqvist","Niels Arden Oplev","Noomi Rapace","thriller","rolled","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_fZu5kCguI8hEgD2f2ucjT1e","prod_TikGatVGW4irdh"
"THE GIRL WHO PLAYED WITH FIRE","","2009","Niels Arden Oplev","Michael Nyqvist","Noomi Rapace","Lena Endre","","thriller","","mint rolled condition","quad","30 x 40 inches","posters-thumb/the-girl-who-played-with-fire-quad-poster.jpg","posters/the-girl-who-played-with-fire-quad-poster.jpg","24.99","British 30 x 40 inch original cinema quad poster for Niels Arden Oplev's fantastic 2009 Swedish thriller based on the second of Stieg Larsson's bestselling Millenium trilogy novels The Girl Who Played With Fire, starring Michael Nyqvist, Noomi Rapace and Lena Endre.
This film poster is in mint rolled condition.Sale ID:CPH","","2009","posters/the-girl-who-played-with-fire-quad-poster.jpg","GIRL WHO PLAYED WITH FIRE","false","","","","","","","Michael Nyqvist","Niels Arden Oplev","Noomi Rapace","thriller","rolled","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_aFa28qfqE9lIgD2dYqcjT1f","prod_TikGbVGm8cJPUt"
"THE GIRL WHO KICKED THE HORNET'S NEST","","2009","Daniel Alfredson","Michael Nyqvist","Noomi Rapace","Lena Endre","","","","mint rolled condition","quad","30 x 40 inches","posters-thumb/the-girl-who-kicked-the-hornets-nest-quad-poster.jpg","posters/the-girl-who-kicked-the-hornets-nest-quad-poster.jpg","24.99","British 30 x 40 inch original cinema quad poster for Daniel Alfredson's truly magnificent 2009 finale of Stieg Larsson's bestselling Millenium trilogy novels The Girl Who Kicked The Hornet&Iacute;s Nest, starring Michael Nyqvist, Noomi Rapace and Lena Endre.This film poster is in mint rolled condition.Sale ID:CPH","","2009","posters/the-girl-who-kicked-the-hornets-nest-quad-poster.jpg","GIRL WHO KICKED THE HORNET'S NEST","false","","","","","","","Daniel Alfredson","Michael Nyqvist","Noomi Rapace","rolled","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_aFaaEW3HW7dA0E4bQicjT1g","prod_TikGKNH38gqoA9"
"THE GODFATHER","","2022","Frances Ford Coppola","Marlon Brando","Al Pacino","James Caan","Diane Keaton","","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/the-godfather-50th-r-quad-poster.jpg","posters/the-godfather-50th-r-quad-poster.jpg","199.99","British 30 x 40 inch 2022 50th anniversary re-release quad poster for Frances Ford Coppola's classic multi-oscar winning 1972 gangster film The Godfather  starring Marlon Brando, Al Pacino, James Caan, Diane Keaton and Robert Duval. This beautiful film poster is in Near mint rolled condition.","","68.50","posters/the-godfather-50th-r-quad-poster.jpg","GODFATHER","false","2022-02-25","","","Robert Duval","","","rolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_aFa7sK0vK41o4Uk9IacjT1h","prod_TikG2KaojM5sMo"
"THE GRADUATE","","1967","Mike Nichols","Dustin Hoffman","Anne Bancroft","Katharine Ross","","comedy","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/the-graduate-50th-r-quad-poster.jpg","posters/the-graduate-50th-r-quad-poster.jpg","89.99","British 30 x 40 inch 50th anniversary cinema re-release quad poster for Mike Nichols's 1967 comedy classic  The Graduate starring Dustin Hoffman, Anne Bancroft and Katharine Ross.This quirky and stylish poster is hard to come by, having only had a limited re-release. It is in Near mint rolled condition, except for some small repeated abrasion tears on the top edge.","","47.00","posters/the-graduate-50th-r-quad-poster.jpg","GRADUATE","false","2023-11-25","","","","","","rolled","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_cNicN4ces69wfyY8E6cjT1i","prod_TikGhYWelDijpp"
"GREASE","","1978","Randal Kleiser","John Travolta","Olivia Newton","","","music, musical","","excellent folded condition","quad","30 x 40 inches","posters-thumb/grease-quad-poster.jpg","posters/grease-quad-poster.jpg","129.99","British 30 x 40 inch original cinema quad poster for Randal Kleiser's 1978 oscar nominated musical masterpiece Grease, starring John Travolta & Olivia Newton-John.This classic film poster is in excellent folded condition for its age, with some minor edge wear and a small plain white papr loss in the top right corner, which is easily restored or can be hidden when framed, with a matching white backing.","","39.50","posters/grease-quad-poster.jpg","GREASE","false","2021-06-26","","","","","","folded","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_7sY4gybao2XkaeEaMecjT1j","prod_TikHK9X6SAg2c7"
"GREASE","Style B","1978","Randal Kleiser","John Travolta","Olivia Newton","","","music, musical","","near mint folded condition","quad","30 x 40 inches","posters-thumb/grease-style-b-quad-poster.jpg","posters/grease-style-b-quad-poster.jpg","89.99","British 30 x 40 inch original style B cinema quad poster for Randal Kleiser's 1978 oscar nominated musical masterpiece Grease, starring John Travolta & Olivia Newton-John.This rarer style B film poster is in near mint folded condition with pin holes in the corners.","","1978","posters/grease-style-b-quad-poster.jpg","GREASE","false","","","","","","","John Travolta","music","musical","Olivia Newton","Randal Kleiser","folded","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_6oU8wOces9lI2Mc1bEcjT1k","prod_TikH3yJNiqjnWN"
